Game Version,Player ID,Name,Age,Nationality,Overall,Potential,Club,Value In (M),Wage In (K),Preferred Foot,International Reputation,Weak Foot,Skill Moves,Real Face,Joined,Contract Valid Until,Release Clause (M),Postion,Height (cm),Weigth (Kg),Attack Rate,Defence Rate
FIFA22,176580,L. Suárez,34,Uruguay,88,88,Atlético de Madrid,44.5,135,Right,5,4,3,Yes,25/09/2020 00:00,2022,91.2,RS,182,75,High, Medium
FIFA22,155862,Sergio Ramos,35,Spain,88,88,Paris Saint-Germain,24,115,Right,4,3,3,Yes,08/07/2021 00:00,2023,44.4,LCB,184,75,High, Medium
FIFA22,182521,T. Kroos,31,Germany,88,88,Real Madrid CF,75,310,Right,4,5,3,Yes,17/07/2014 00:00,2023,153.8,LCM,183,75,Medium, Medium
FIFA22,202652,R. Sterling,26,England,88,89,Manchester City,107.5,290,Right,4,3,4,Yes,14/07/2015 00:00,2023,206.9,SUB,170,75,High, Medium
FIFA22,239085,E. Haaland,20,Norway,88,93,Borussia Dortmund,137.5,110,Left,4,3,3,Yes,01/01/2020 00:00,2024,244.1,RS,194,75,High, High
FIFA22,192505,R. Lukaku,28,Belgium,88,88,Chelsea,93.5,260,Left,4,4,3,Yes,12/08/2021 00:00,2026,173,ST,191,75,Medium, Medium
FIFA22,193041,K. Navas,34,Costa Rica,88,88,Paris Saint-Germain,15.5,130,Right,3,3,1,Yes,02/09/2019 00:00,2024,28.7,SUB,185,75,Medium, Medium
FIFA23,210514,João Cancelo,28,Portugal,88,88,Manchester City,82.5,250,Right,3,4,4,Yes,07/08/2019 00:00,2027,152.6,LB,182,75,High, Medium
FIFA23,177003,L. Modrić,36,Croatia,88,88,Real Madrid CF,29,230,Right,4,4,4,Yes,01/08/2012 00:00,2023,59.5,RCM,172,75,Medium, Medium
FIFA23,218667,Bernardo Silva,27,Portugal,88,88,Manchester City,97.5,260,Left,2,3,4,Yes,01/07/2017 00:00,2025,180.4,LCM,173,75,High, High
FIFA23,182521,T. Kroos,32,Germany,88,88,Real Madrid CF,72,310,Right,4,5,3,Yes,17/07/2014 00:00,2023,147.6,LCM,183,75,Medium, Medium
FIFA23,239085,E. Haaland,21,Norway,88,94,Manchester City,148,220,Left,4,3,3,Yes,01/07/2022 00:00,2027,303.4,ST,195,75,High, Medium
FIFA23,207865,Marquinhos,28,Brazil,88,90,Paris Saint-Germain,92,170,Right,3,3,3,Yes,19/07/2013 00:00,2024,177.1,CB,183,75,Medium, High
FIFA23,239818,Rúben Dias,25,Portugal,88,91,Manchester City,107.5,230,Right,3,4,2,Yes,29/09/2020 00:00,2027,206.9,RCB,187,75,Medium, High
FIFA23,192448,M. ter Stegen,30,Germany,88,89,FC Barcelona,68.5,210,Right,4,4,1,Yes,01/07/2014 00:00,2025,145.6,GK,187,75,Medium, Medium
FIFA23,193041,K. Navas,35,Costa Rica,88,88,Paris Saint-Germain,10,85,Right,3,3,1,Yes,02/09/2019 00:00,2024,18.5,SUB,185,75,Medium, Medium
FIFA23,230621,G. Donnarumma,23,Italy,88,92,Paris Saint-Germain,103.5,110,Right,3,3,1,Yes,15/07/2021 00:00,2026,199.2,GK,196,75,Medium, Medium
FIFA21,176580,L. Suárez,33,Uruguay,87,87,Atlético Madrid,31.5,115,Right,5,4,3,Yes,25/09/2020 00:00,2022,64.6,RS,183,86,High, Medium
FIFA21,212198,Bruno Fernandes,25,Portugal,87,90,Manchester United,63,195,Right,2,4,4,Yes,30/01/2020 00:00,2025,124.4,CAM,178,69,High, High
FIFA21,194765,A. Griezmann,29,France,87,87,FC Barcelona,50.5,290,Left,4,3,4,Yes,12/07/2019 00:00,2024,103.5,RW,175,73,Medium, Medium
FIFA21,177003,L. Modrić,34,Croatia,87,87,Real Madrid,24.5,260,Right,4,4,4,Yes,01/08/2012 00:00,2021,50.2,RCM,173,66,High, Medium
FIFA21,231281,T. Alexander-Arnold,21,England,87,92,Liverpool,60,110,Right,2,4,3,Yes,07/10/2015 00:00,2024,115.5,RB,180,69,High, Medium
FIFA21,201942,Roberto Firmino,28,Brazil,87,87,Liverpool,52,190,Right,3,4,5,Yes,06/07/2015 00:00,2023,96.2,CF,180,76,High, High
FIFA21,209499,Fabinho,26,Brazil,87,89,Liverpool,54.5,155,Right,3,2,3,Yes,01/07/2018 00:00,2023,104.9,CDM,188,78,Medium, High
FIFA21,183898,A. Di María,32,Argentina,87,87,Paris Saint-Germain,39,160,Left,4,2,5,Yes,06/08/2015 00:00,2021,72.2,RES,180,69,High, Medium
FIFA21,200104,H. Son,27,Korea Republic,87,87,Tottenham Hotspur,52.5,165,Right,3,5,4,Yes,28/08/2015 00:00,2023,99.8,LM,183,78,High, High
FIFA21,216267,A. Robertson,26,Scotland,87,89,Liverpool,53,155,Left,3,2,3,Yes,21/07/2017 00:00,2024,102,LB,178,64,High, High
FIFA21,218667,Bernardo Silva,25,Portugal,87,88,Manchester City,60,230,Left,2,3,4,Yes,01/07/2017 00:00,2025,115.5,LCM,173,64,High, High
FIFA21,188567,P. Aubameyang,31,Gabon,87,87,Arsenal,45,170,Right,3,4,4,Yes,31/01/2018 00:00,2023,85.5,LW,188,80,High, High
FIFA21,192387,C. Immobile,30,Italy,87,87,Lazio,48.5,125,Right,3,4,3,Yes,27/07/2016 00:00,2025,82.5,RS,185,85,High, Medium
FIFA21,189511,Sergio Busquets,31,Spain,87,87,FC Barcelona,38,240,Right,4,3,3,Yes,01/09/2008 00:00,2023,77.9,RCM,188,76,Medium, Medium
FIFA21,233049,J. Sancho,20,England,87,93,Borussia Dortmund,69.5,82,Right,3,3,5,Yes,31/08/2017 00:00,2023,132.1,RS,180,76,High, Medium
FIFA21,212218,A. Laporte,26,France,87,90,Manchester City,56,200,Left,2,3,2,Yes,30/01/2018 00:00,2024,107.8,LCB,188,85,Medium, Medium
FIFA21,138956,G. Chiellini,35,Italy,87,87,Juventus,15.5,94,Left,4,3,2,Yes,01/07/2005 00:00,2021,25.6,LCB,188,85,Medium, High
FIFA21,193041,K. Navas,33,Costa Rica,87,87,Paris Saint-Germain,27,110,Right,3,3,1,Yes,02/09/2019 00:00,2023,50,GK,185,80,Medium, Medium
FIFA21,167948,H. Lloris,33,France,87,87,Tottenham Hotspur,27,125,Left,4,1,1,Yes,31/08/2012 00:00,2022,51.3,GK,188,82,Medium, Medium
FIFA21,186153,W. Szczęsny,30,Poland,87,87,Juventus,34,105,Right,3,3,1,Yes,19/07/2017 00:00,2024,56.1,GK,196,90,Medium, Medium
FIFA22,209658,L. Goretzka,26,Germany,87,88,FC Bayern München,93,140,Right,4,4,3,Yes,01/07/2018 00:00,2026,160.4,LDM,189,75,High, Medium
FIFA22,177003,L. Modrić,35,Croatia,87,87,Real Madrid CF,32,190,Right,4,4,4,Yes,01/08/2012 00:00,2022,65.6,RCM,172,75,Medium, Medium
FIFA22,228702,F. de Jong,24,Netherlands,87,92,FC Barcelona,119.5,210,Right,3,3,4,Yes,01/07/2019 00:00,2026,253.9,RCM,180,75,High, Medium
FIFA22,231281,T. Alexander-Arnold,22,England,87,92,Liverpool,114,150,Right,3,4,3,Yes,07/10/2015 00:00,2025,219.5,RB,180,75,High, Medium
FIFA22,195864,P. Pogba,28,France,87,87,Manchester United,79.5,220,Right,4,4,5,Yes,09/08/2016 00:00,2022,147.1,RDM,191,75,High, Medium
FIFA22,199556,M. Verratti,28,Italy,87,87,Paris Saint-Germain,79.5,155,Right,3,4,4,Yes,18/07/2012 00:00,2024,147.1,CM,165,75,Medium, High
FIFA22,183898,A. Di María,33,Argentina,87,87,Paris Saint-Germain,49.5,160,Left,4,2,5,Yes,06/08/2015 00:00,2022,91.6,SUB,180,75,High, Medium
FIFA22,216267,A. Robertson,27,Scotland,87,88,Liverpool,83.5,175,Left,3,2,3,Yes,21/07/2017 00:00,2026,160.7,LB,178,75,High, High
FIFA22,189596,T. Müller,31,Germany,87,87,FC Bayern München,66,140,Right,4,4,3,Yes,10/08/2008 00:00,2023,108.9,CAM,185,75,High, High
FIFA22,211110,P. Dybala,27,Argentina,87,88,Juventus,93,160,Left,3,3,4,Yes,01/07/2015 00:00,2022,160.4,CAM,177,75,Medium, Medium
FIFA22,207865,Marquinhos,27,Brazil,87,90,Paris Saint-Germain,90.5,135,Right,3,3,3,Yes,19/07/2013 00:00,2024,174.2,RCB,183,75,Medium, High
FIFA22,153079,S. Agüero,33,Argentina,87,87,FC Barcelona,51,260,Right,4,4,4,Yes,01/07/2021 00:00,2023,104.6,ST,173,75,High, Medium
FIFA22,192387,C. Immobile,31,Italy,87,87,Lazio,67.5,125,Right,4,4,3,Yes,27/07/2016 00:00,2025,114.8,ST,185,75,High, Medium
FIFA22,233049,J. Sancho,21,England,87,91,Manchester United,116.5,150,Right,3,3,5,Yes,23/07/2021 00:00,2026,224.3,LM,180,75,High, Medium
FIFA22,239818,Rúben Dias,24,Portugal,87,91,Manchester City,102.5,170,Right,3,4,2,Yes,29/09/2020 00:00,2027,197.3,RCB,187,75,Medium, High
FIFA22,167948,H. Lloris,34,France,87,87,Tottenham Hotspur,13.5,125,Left,4,1,1,Yes,31/08/2012 00:00,2022,25.7,GK,188,75,Medium, Medium
FIFA22,186153,W. Szczęsny,31,Poland,87,87,Juventus,42,105,Right,3,3,1,Yes,19/07/2017 00:00,2024,69.3,GK,195,75,Medium, Medium
FIFA23,209658,L. Goretzka,27,Germany,87,88,FC Bayern München,91,115,Right,4,4,3,Yes,01/07/2018 00:00,2026,157,SUB,189,75,High, Medium
FIFA23,228702,F. de Jong,25,Netherlands,87,92,FC Barcelona,116.5,230,Right,3,3,4,Yes,01/07/2019 00:00,2026,247.6,RCM,180,75,High, Medium
FIFA23,231281,T. Alexander-Arnold,23,England,87,90,Liverpool,100.5,150,Right,3,4,3,Yes,07/10/2015 00:00,2025,193.5,RB,180,75,High, Medium
FIFA23,199556,M. Verratti,29,Italy,87,87,Paris Saint-Germain,77.5,155,Right,3,4,4,Yes,18/07/2012 00:00,2024,143.4,RCM,165,75,Medium, High
FIFA23,209499,Fabinho,28,Brazil,87,88,Liverpool,77,185,Right,3,2,3,Yes,01/07/2018 00:00,2026,148.2,CDM,188,75,Medium, High
FIFA23,216267,A. Robertson,28,Scotland,87,87,Liverpool,72,185,Left,3,2,3,Yes,21/07/2017 00:00,2026,133.2,LB,178,75,High, High
FIFA23,189596,T. Müller,32,Germany,87,87,FC Bayern München,63,115,Right,4,4,3,Yes,10/08/2008 00:00,2024,104,CAM,185,75,High, High
FIFA23,231866,Rodri,26,Spain,87,89,Manchester City,88.5,200,Right,3,4,3,Yes,04/07/2019 00:00,2027,170.4,CDM,191,75,Medium, High
FIFA23,153079,S. Agüero,33,Argentina,87,87,FC Barcelona,51,260,Right,4,4,4,Yes,01/07/2021 00:00,2023,104.6,SUB,173,75,High, Medium
FIFA23,205452,A. Rüdiger,29,Germany,87,88,Real Madrid CF,73.5,250,Right,2,3,2,Yes,01/07/2022 00:00,2026,156.2,RCB,190,75,High, High
FIFA23,201024,K. Koulibaly,31,Senegal,87,87,Chelsea,54.5,175,Right,3,4,2,Yes,16/07/2022 00:00,2026,100.8,LCB,187,75,Medium, High
FIFA23,215698,M. Maignan,26,France,87,90,AC Milan,80,90,Right,2,4,1,Yes,01/07/2021 00:00,2026,142,GK,191,75,Medium, Medium
FIFA23,193080,De Gea,31,Spain,87,87,Manchester United,42,150,Right,4,3,1,Yes,01/07/2011 00:00,2023,79.8,GK,192,75,Medium, Medium
FIFA23,167948,H. Lloris,35,France,87,87,Tottenham Hotspur,9,80,Left,4,1,1,Yes,31/08/2012 00:00,2024,17.1,GK,188,75,Medium, Medium
FIFA21,195864,P. Pogba,27,France,86,87,Manchester United,50,190,Right,4,4,5,Yes,09/08/2016 00:00,2021,98.8,RDM,190,84,High, Medium
FIFA21,189332,Jordi Alba,31,Spain,86,86,FC Barcelona,32,220,Left,3,3,3,Yes,01/07/2012 00:00,2024,65.6,LB,170,68,High, Medium
FIFA21,183711,J. Henderson,30,England,86,86,Liverpool,36.5,140,Right,2,3,3,Yes,09/06/2011 00:00,2023,67.5,RCM,183,80,High, High
FIFA21,199556,M. Verratti,27,Italy,86,87,Paris Saint-Germain,50,135,Right,3,4,4,Yes,18/07/2012 00:00,2024,96.3,LCM,165,60,Medium, High
FIFA21,179813,E. Cavani,32,Uruguay,86,86,Paris Saint-Germain,35.5,150,Right,4,4,3,Yes,16/07/2013 00:00,2020,65.7,SUB,185,77,High, High
FIFA21,204963,Carvajal,28,Spain,86,86,Real Madrid,38,230,Right,3,3,3,Yes,05/07/2013 00:00,2022,77.9,RB,173,73,High, High
FIFA21,208830,J. Vardy,33,England,86,86,Leicester City,28,160,Right,3,3,3,Yes,01/05/2012 00:00,2023,53.2,ST,178,74,High, High
FIFA21,189596,T. Müller,30,Germany,86,86,FC Bayern München,42,130,Right,4,4,3,Yes,10/08/2008 00:00,2023,69.3,CAM,185,75,High, High
FIFA21,143076,A. Gómez,32,Argentina,86,86,Atalanta,34.5,100,Right,3,4,4,Yes,02/09/2014 00:00,2022,58.7,LF,168,68,High, Medium
FIFA21,168542,David Silva,34,Spain,86,86,Real Sociedad,22.5,58,Left,4,2,4,Yes,17/08/2020 00:00,2022,47.3,CAM,173,67,High, Medium
FIFA21,178603,M. Hummels,31,Germany,86,86,Borussia Dortmund,33,93,Right,4,3,3,Yes,01/07/2019 00:00,2022,56.1,CB,190,94,High, High
FIFA21,152729,Piqué,33,Spain,86,86,FC Barcelona,21,220,Right,4,3,2,Yes,01/07/2008 00:00,2022,43.1,RCB,193,85,High, Medium
FIFA21,201535,R. Varane,27,France,86,88,Real Madrid,46.5,220,Right,3,3,2,Yes,01/07/2011 00:00,2022,98.8,RCB,190,81,Medium, High
FIFA21,177509,M. Benatia,31,Morocco,86,86,Juventus,30,160,Right,3,3,2,Yes,26/08/2014 00:00,2020,49.5,SUB,188,94,Medium, High
FIFA21,193080,De Gea,29,Spain,86,86,Manchester United,31.5,150,Right,4,3,1,Yes,01/07/2011 00:00,2023,59.9,GK,193,82,Medium, Medium
FIFA21,177683,Y. Sommer,31,Switzerland,86,86,Borussia Mönchengladbach,28.5,55,Right,3,4,1,Yes,01/07/2014 00:00,2023,48.5,GK,183,79,Medium, Medium
FIFA22,226161,Marcos Llorente,26,Spain,86,89,Atlético de Madrid,88,95,Right,3,4,3,Yes,01/07/2019 00:00,2027,187,RM,184,75,High, Medium
FIFA22,210514,João Cancelo,27,Portugal,86,87,Manchester City,71.5,185,Right,3,4,4,Yes,07/08/2019 00:00,2025,137.6,LB,182,75,High, Medium
FIFA22,189332,Jordi Alba,32,Spain,86,86,FC Barcelona,47,200,Left,3,3,3,Yes,01/07/2012 00:00,2024,96.4,LB,170,75,High, Medium
FIFA22,189509,Thiago,30,Spain,86,86,Liverpool,65,180,Right,3,3,5,Yes,18/09/2020 00:00,2024,120.3,LCM,174,75,Medium, Medium
FIFA22,189513,Parejo,32,Spain,86,86,Villarreal CF,53.5,64,Right,2,4,3,Yes,12/08/2020 00:00,2024,112.4,LCM,182,75,Medium, Medium
FIFA22,209499,Fabinho,27,Brazil,86,88,Liverpool,73.5,165,Right,3,2,3,Yes,01/07/2018 00:00,2026,141.5,CDM,188,75,Medium, High
FIFA22,208830,J. Vardy,34,England,86,86,Leicester City,33,180,Right,3,4,3,Yes,01/05/2012 00:00,2023,62.7,ST,179,75,High, Medium
FIFA22,218667,Bernardo Silva,26,Portugal,86,86,Manchester City,74,200,Left,2,3,4,Yes,01/07/2017 00:00,2025,136.9,SUB,173,75,High, High
FIFA22,208093,Gerard Moreno,29,Spain,86,86,Villarreal CF,68,73,Left,2,4,3,Yes,02/07/2018 00:00,2027,142.8,ST,180,75,High, Medium
