Game Version,Player ID,Club,Value In (M),Wage In (K),Joined,Contract Valid Until,Release Clause (M)
FIFA23,193041,Paris Saint-Germain,10,85,02/09/2019 00:00,2024,18.5
FIFA23,230621,Paris Saint-Germain,103.5,110,15/07/2021 00:00,2026,199.2
FIFA21,176580,Atlético Madrid,31.5,115,25/09/2020 00:00,2022,64.6
FIFA21,212198,Manchester United,63,195,30/01/2020 00:00,2025,124.4
FIFA21,194765,FC Barcelona,50.5,290,12/07/2019 00:00,2024,103.5
FIFA21,177003,Real Madrid,24.5,260,01/08/2012 00:00,2021,50.2
FIFA21,231281,Liverpool,60,110,07/10/2015 00:00,2024,115.5
FIFA21,201942,Liverpool,52,190,06/07/2015 00:00,2023,96.2
FIFA21,209499,Liverpool,54.5,155,01/07/2018 00:00,2023,104.9
FIFA21,183898,Paris Saint-Germain,39,160,06/08/2015 00:00,2021,72.2
FIFA21,200104,Tottenham Hotspur,52.5,165,28/08/2015 00:00,2023,99.8
FIFA21,216267,Liverpool,53,155,21/07/2017 00:00,2024,102
FIFA21,218667,Manchester City,60,230,01/07/2017 00:00,2025,115.5
FIFA21,188567,Arsenal,45,170,31/01/2018 00:00,2023,85.5
FIFA21,192387,Lazio,48.5,125,27/07/2016 00:00,2025,82.5
FIFA21,189511,FC Barcelona,38,240,01/09/2008 00:00,2023,77.9
FIFA21,233049,Borussia Dortmund,69.5,82,31/08/2017 00:00,2023,132.1
FIFA21,212218,Manchester City,56,200,30/01/2018 00:00,2024,107.8
FIFA21,138956,Juventus,15.5,94,01/07/2005 00:00,2021,25.6
FIFA21,193041,Paris Saint-Germain,27,110,02/09/2019 00:00,2023,50
FIFA21,167948,Tottenham Hotspur,27,125,31/08/2012 00:00,2022,51.3
FIFA21,186153,Juventus,34,105,19/07/2017 00:00,2024,56.1
FIFA22,209658,FC Bayern München,93,140,01/07/2018 00:00,2026,160.4
FIFA22,177003,Real Madrid CF,32,190,01/08/2012 00:00,2022,65.6
FIFA22,228702,FC Barcelona,119.5,210,01/07/2019 00:00,2026,253.9
FIFA22,231281,Liverpool,114,150,07/10/2015 00:00,2025,219.5
FIFA22,195864,Manchester United,79.5,220,09/08/2016 00:00,2022,147.1
FIFA22,199556,Paris Saint-Germain,79.5,155,18/07/2012 00:00,2024,147.1
FIFA22,183898,Paris Saint-Germain,49.5,160,06/08/2015 00:00,2022,91.6
FIFA22,216267,Liverpool,83.5,175,21/07/2017 00:00,2026,160.7
FIFA22,189596,FC Bayern München,66,140,10/08/2008 00:00,2023,108.9
FIFA22,211110,Juventus,93,160,01/07/2015 00:00,2022,160.4
FIFA22,207865,Paris Saint-Germain,90.5,135,19/07/2013 00:00,2024,174.2
FIFA22,153079,FC Barcelona,51,260,01/07/2021 00:00,2023,104.6
FIFA22,192387,Lazio,67.5,125,27/07/2016 00:00,2025,114.8
FIFA22,233049,Manchester United,116.5,150,23/07/2021 00:00,2026,224.3
FIFA22,239818,Manchester City,102.5,170,29/09/2020 00:00,2027,197.3
FIFA22,167948,Tottenham Hotspur,13.5,125,31/08/2012 00:00,2022,25.7
FIFA22,186153,Juventus,42,105,19/07/2017 00:00,2024,69.3
FIFA23,209658,FC Bayern München,91,115,01/07/2018 00:00,2026,157
FIFA23,228702,FC Barcelona,116.5,230,01/07/2019 00:00,2026,247.6
FIFA23,231281,Liverpool,100.5,150,07/10/2015 00:00,2025,193.5
FIFA23,199556,Paris Saint-Germain,77.5,155,18/07/2012 00:00,2024,143.4
FIFA23,209499,Liverpool,77,185,01/07/2018 00:00,2026,148.2
FIFA23,216267,Liverpool,72,185,21/07/2017 00:00,2026,133.2
FIFA23,189596,FC Bayern München,63,115,10/08/2008 00:00,2024,104
FIFA23,231866,Manchester City,88.5,200,04/07/2019 00:00,2027,170.4
FIFA23,153079,FC Barcelona,51,260,01/07/2021 00:00,2023,104.6
FIFA23,205452,Real Madrid CF,73.5,250,01/07/2022 00:00,2026,156.2
FIFA23,201024,Chelsea,54.5,175,16/07/2022 00:00,2026,100.8
FIFA23,215698,AC Milan,80,90,01/07/2021 00:00,2026,142
FIFA23,193080,Manchester United,42,150,01/07/2011 00:00,2023,79.8
FIFA23,167948,Tottenham Hotspur,9,80,31/08/2012 00:00,2024,17.1
FIFA21,195864,Manchester United,50,190,09/08/2016 00:00,2021,98.8
FIFA21,189332,FC Barcelona,32,220,01/07/2012 00:00,2024,65.6
FIFA21,183711,Liverpool,36.5,140,09/06/2011 00:00,2023,67.5
FIFA21,199556,Paris Saint-Germain,50,135,18/07/2012 00:00,2024,96.3
FIFA21,179813,Paris Saint-Germain,35.5,150,16/07/2013 00:00,2020,65.7
FIFA21,204963,Real Madrid,38,230,05/07/2013 00:00,2022,77.9
FIFA21,208830,Leicester City,28,160,01/05/2012 00:00,2023,53.2
FIFA21,189596,FC Bayern München,42,130,10/08/2008 00:00,2023,69.3
FIFA21,143076,Atalanta,34.5,100,02/09/2014 00:00,2022,58.7
FIFA21,168542,Real Sociedad,22.5,58,17/08/2020 00:00,2022,47.3
FIFA21,178603,Borussia Dortmund,33,93,01/07/2019 00:00,2022,56.1
FIFA21,152729,FC Barcelona,21,220,01/07/2008 00:00,2022,43.1
FIFA21,201535,Real Madrid,46.5,220,01/07/2011 00:00,2022,98.8
FIFA21,177509,Juventus,30,160,26/08/2014 00:00,2020,49.5
FIFA21,193080,Manchester United,31.5,150,01/07/2011 00:00,2023,59.9
FIFA21,177683,Borussia Mönchengladbach,28.5,55,01/07/2014 00:00,2023,48.5
FIFA22,226161,Atlético de Madrid,88,95,01/07/2019 00:00,2027,187
FIFA22,210514,Manchester City,71.5,185,07/08/2019 00:00,2025,137.6
FIFA22,189332,FC Barcelona,47,200,01/07/2012 00:00,2024,96.4
FIFA22,189509,Liverpool,65,180,18/09/2020 00:00,2024,120.3
FIFA22,189513,Villarreal CF,53.5,64,12/08/2020 00:00,2024,112.4
FIFA22,209499,Liverpool,73.5,165,01/07/2018 00:00,2026,141.5
FIFA22,208830,Leicester City,33,180,01/05/2012 00:00,2023,62.7
FIFA22,218667,Manchester City,74,200,01/07/2017 00:00,2025,136.9
FIFA22,208093,Villarreal CF,68,73,02/07/2018 00:00,2027,142.8
FIFA22,231866,Manchester City,81,175,04/07/2019 00:00,2024,155.9
FIFA22,178603,Borussia Dortmund,44,95,01/07/2019 00:00,2023,74.8
FIFA22,204485,Manchester City,65.5,220,10/07/2018 00:00,2023,121.2
FIFA22,198219,Napoli,65.5,125,01/07/2010 00:00,2022,111.4
FIFA22,189511,FC Barcelona,45,200,01/09/2008 00:00,2023,92.3
FIFA22,212218,Manchester City,77,185,30/01/2018 00:00,2024,148.2
FIFA22,213345,FC Bayern München,81,120,30/08/2015 00:00,2023,139.7
FIFA22,201535,Manchester United,68.5,180,27/07/2021 00:00,2025,131.9
FIFA22,138956,Juventus,12,88,01/07/2005 00:00,2023,19.8
FIFA22,232363,Inter,74,150,07/07/2017 00:00,2023,131.4
FIFA22,201024,Napoli,55.5,105,01/07/2014 00:00,2023,94.4
FIFA22,192984,VfL Wolfsburg,52,88,21/01/2015 00:00,2024,92.3
FIFA22,162835,Inter,7.5,78,01/07/2012 00:00,2022,12.8
FIFA23,212198,Manchester United,78.5,190,30/01/2020 00:00,2026,155
FIFA23,224232,Inter,89.5,110,01/09/2020 00:00,2026,154.4
FIFA23,197445,Real Madrid CF,55.5,220,01/07/2021 00:00,2026,113.8
FIFA23,223848,Lazio,77.5,90,06/08/2015 00:00,2024,137.6
FIFA23,216352,Inter,58,110,01/07/2016 00:00,2026,95.7
FIFA23,189509,Liverpool,55.5,180,18/09/2020 00:00,2024,102.7
FIFA23,232411,RB Leipzig,94,90,25/09/2020 00:00,2022,166.9
FIFA23,231478,Inter,98.5,110,05/07/2018 00:00,2026,169.9
FIFA23,189513,Villarreal CF,42,64,12/08/2020 00:00,2024,88.2
FIFA23,211110,Roma,69.5,130,20/07/2022 00:00,2025,118.2
FIFA23,202652,Chelsea,72.5,195,13/07/2022 00:00,2027,134.1
FIFA23,204485,Manchester City,56.5,220,10/07/2018 00:00,2025,104.5
FIFA23,192387,Lazio,55,100,27/07/2016 00:00,2025,93.5
FIFA23,164240,Chelsea,12,115,28/08/2020 00:00,2023,22.2
FIFA23,238794,Real Madrid CF,109,200,12/07/2018 00:00,2025,245.3
FIFA23,213345,FC Bayern München,80,105,30/08/2015 00:00,2027,138
FIFA23,212218,Manchester City,64.5,195,30/01/2018 00:00,2025,124.2
FIFA23,232363,Inter,68.5,105,07/07/2017 00:00,2023,118.2
FIFA23,186153,Juventus,33.5,125,19/07/2017 00:00,2024,57
FIFA23,234642,Chelsea,51,130,24/09/2020 00:00,2025,98.2
FIFA21,181291,Liverpool,37,150,22/07/2016 00:00,2021,68.5
FIFA21,223848,Lazio,49,94,06/08/2015 00:00,2024,87
FIFA21,193747,Atlético Madrid,38,92,01/01/2011 00:00,2024,77.9
FIFA21,210243,Leicester City,40.5,120,09/06/2018 00:00,2023,80
FIFA21,188377,Manchester City,30.5,170,14/07/2017 00:00,2024,56.4
FIFA21,228702,FC Barcelona,50.5,190,01/07/2019 00:00,2024,107.3
FIFA21,180206,FC Barcelona,35.5,220,24/08/2020 00:00,2024,72.8
FIFA21,189509,Liverpool,37,150,18/09/2020 00:00,2024,68.5
FIFA21,191043,Juventus,31.5,120,21/08/2015 00:00,2023,52
FIFA21,189513,Villarreal CF,33,59,12/08/2020 00:00,2024,69.3
FIFA21,231677,Manchester United,53,150,01/07/2014 00:00,2023,111.3
FIFA21,188350,Borussia Dortmund,34,94,01/07/2012 00:00,2023,57.8
FIFA21,164169,Atlético Madrid,21.5,80,28/07/2015 00:00,2019,44.1
FIFA21,208670,Chelsea,44,140,01/07/2020 00:00,2025,86.9
FIFA21,202556,Olympique Lyonnais,48.5,115,20/01/2017 00:00,2021,95.8
FIFA21,231866,Manchester City,44,145,04/07/2019 00:00,2024,84.7
FIFA21,190460,Inter,39,155,28/01/2020 00:00,2024,64.4
FIFA21,222492,FC Bayern München,51.5,100,15/07/2020 00:00,2025,88.8
FIFA21,206113,FC Bayern München,47.5,100,01/07/2017 00:00,2023,81.9
FIFA21,235790,Chelsea,57,105,04/09/2020 00:00,2025,119.7
FIFA21,198706,Lazio,40.5,99,31/08/2016 00:00,2025,68.9
FIFA21,164240,Chelsea,11.5,93,28/08/2020 00:00,2021,21.9
FIFA21,204485,Manchester City,37.5,210,10/07/2018 00:00,2023,69.4
FIFA21,184267,FC Porto,39,30,22/07/2014 00:00,2019,78
FIFA21,184087,Tottenham Hotspur,28.5,130,08/07/2015 00:00,2023,54.2
FIFA21,212188,Chelsea,49.5,135,01/07/2020 00:00,2025,97.8
FIFA21,175943,Napoli,24,115,01/07/2013 00:00,2022,40.8
FIFA21,192505,Inter,45,165,08/08/2019 00:00,2024,77.6
FIFA21,198219,Napoli,37.5,120,01/07/2010 00:00,2022,63.8
FIFA21,235243,Juventus,49.5,80,18/07/2019 00:00,2024,91.6
FIFA21,184344,Juventus,18,110,02/08/2018 00:00,2024,29.7
FIFA21,207865,Paris Saint-Germain,44,115,19/07/2013 00:00,2024,84.7
FIFA21,201399,Paris Saint-Germain,45,135,08/06/2020 00:00,2024,86.6
FIFA21,220440,FC Barcelona,44.5,190,12/07/2018 00:00,2023,94.6
FIFA21,182493,Cagliari,14.5,56,24/09/2020 00:00,2023,24.7
FIFA21,232363,Inter,44.5,130,07/07/2017 00:00,2023,76.8
FIFA21,192563,Arsenal,33.5,105,01/07/2018 00:00,2023,66.2
FIFA21,230621,Milan,41.5,34,01/07/2015 00:00,2021,78.9
FIFA21,185122,RB Leipzig,26,65,01/07/2015 00:00,2023,44.2
FIFA22,193747,Atlético de Madrid,52.5,90,01/01/2011 00:00,2024,107.6
FIFA22,223848,Lazio,66,100,06/08/2015 00:00,2024,117.2
FIFA22,186942,Manchester City,51.5,185,01/07/2016 00:00,2023,95.3
FIFA22,188377,Manchester City,39,170,14/07/2017 00:00,2024,72.2
FIFA22,235212,Paris Saint-Germain,69.5,100,06/07/2021 00:00,2026,133.8
FIFA22,201942,Liverpool,54,185,06/07/2015 00:00,2023,99.9
FIFA22,231677,Manchester United,77.5,150,01/07/2014 00:00,2023,149.2
FIFA22,231478,Inter,78,145,05/07/2018 00:00,2023,138.5
FIFA22,164169,Atlético de Madrid,21.5,80,28/07/2015 00:00,2019,44.1
FIFA22,205498,Chelsea,52.5,170,16/07/2018 00:00,2023,97.1
FIFA22,188350,Borussia Dortmund,43,95,01/07/2012 00:00,2023,73.1
FIFA22,204963,Real Madrid CF,47.5,210,05/07/2013 00:00,2025,97.4
FIFA22,226790,Leicester City,66.5,120,05/01/2017 00:00,2024,131.3
FIFA22,179813,Manchester United,26,190,05/10/2020 00:00,2022,48.1
FIFA22,202556,FC Barcelona,63,220,01/07/2021 00:00,2023,133.9
FIFA22,206113,FC Bayern München,64.5,110,01/07/2017 00:00,2023,111.3
FIFA22,143076,Sevilla FC,33.5,51,26/01/2021 00:00,2024,70.4
FIFA22,230142,Real Sociedad,77.5,57,01/07/2014 00:00,2024,168.6
FIFA22,183277,Real Madrid CF,52,240,01/07/2019 00:00,2024,106.6
FIFA22,188567,Arsenal,43.5,145,31/01/2018 00:00,2023,82.7
FIFA22,168542,Real Sociedad,22,44,17/08/2020 00:00,2022,46.2
FIFA22,184267,FC Porto,39,30,22/07/2014 00:00,2019,78
FIFA22,164240,Chelsea,9.5,105,28/08/2020 00:00,2022,17.6
FIFA22,235243,Juventus,75,81,18/07/2019 00:00,2024,129.4
FIFA22,184344,Juventus,17.5,110,02/08/2018 00:00,2024,28.9
FIFA22,198176,Inter,45,145,01/07/2018 00:00,2023,76.5
FIFA22,163587,Leicester City,9,115,01/06/2011 00:00,2023,17.1
FIFA22,177683,Borussia Mönchengladbach,26.5,40,01/07/2014 00:00,2023,45.1
FIFA22,185122,RB Leipzig,28.5,87,01/07/2015 00:00,2025,48.5
FIFA23,224334,Sevilla FC,46.5,46,14/09/2020 00:00,2024,97.7
FIFA23,208574,Eintracht Frankfurt,53,56,17/05/2019 00:00,2023,90.1
FIFA23,189332,FC Barcelona,28,190,01/07/2012 00:00,2024,57.4
FIFA23,188377,Manchester City,37.5,170,14/07/2017 00:00,2024,69.4
FIFA23,232656,AC Milan,76,82,05/07/2019 00:00,2026,134.9
FIFA23,186942,Manchester City,44,185,01/07/2016 00:00,2023,81.4
FIFA23,224458,Liverpool,76,170,19/09/2020 00:00,2025,146.3
FIFA23,195864,Juventus,52.5,165,11/07/2022 00:00,2026,89.3
FIFA23,188350,Borussia Dortmund,33.5,78,01/07/2012 00:00,2023,57
FIFA23,208418,Atlético de Madrid,54.5,90,08/09/2020 00:00,2024,111.7
FIFA23,164169,Atlético de Madrid,21.5,80,28/07/2015 00:00,2019,44.1
FIFA23,205498,Chelsea,51.5,165,16/07/2018 00:00,2023,95.3
FIFA23,216594,Real Betis Balompié,54.5,48,23/07/2019 00:00,2026,114.5
FIFA23,208830,Leicester City,23,110,01/05/2012 00:00,2023,43.7
FIFA23,251854,FC Barcelona,116,115,04/08/2020 00:00,2026,261
FIFA23,208093,Villarreal CF,53,64,02/07/2018 00:00,2027,111.3
FIFA23,202556,FC Barcelona,55,230,01/07/2021 00:00,2023,112.8
FIFA23,237692,Manchester City,109.5,180,01/07/2016 00:00,2024,224.5
FIFA23,192629,RC Celta de Vigo,26,50,01/07/2015 00:00,2025,54.6
FIFA23,206113,FC Bayern München,59,100,01/07/2017 00:00,2026,97.4
FIFA23,188567,FC Barcelona,34.5,220,31/01/2022 00:00,2025,70.7
FIFA23,189511,FC Barcelona,26.5,190,01/09/2008 00:00,2023,54.3
FIFA23,234236,Bayer 04 Leverkusen,67.5,95,08/09/2020 00:00,2027,119.8
FIFA23,235243,FC Bayern München,71,77,19/07/2022 00:00,2027,122.5
FIFA23,212190,Borussia Dortmund,59,72,01/07/2022 00:00,2026,104.7
FIFA23,177683,Borussia Mönchengladbach,17.5,40,01/07/2014 00:00,2023,29.8
FIFA23,185122,RB Leipzig,26.5,65,25/09/2020 00:00,2022,45.1
FIFA21,212462,FC Porto,31,23,13/07/2016 00:00,2021,64.3
FIFA21,209658,FC Bayern München,39.5,105,01/07/2018 00:00,2022,68.1
FIFA21,197445,FC Bayern München,27.5,105,10/02/2010 00:00,2021,45.4
FIFA21,208421,Atlético Madrid,38.5,77,01/07/2013 00:00,2026,81.8
FIFA21,200458,Everton,31.5,110,01/08/2018 00:00,2023,62.2
FIFA21,135507,Manchester City,9.5,110,01/07/2013 00:00,2021,17.6
FIFA21,209989,Atlético Madrid,35,81,01/07/2015 00:00,2023,74.4
FIFA21,177413,Borussia Dortmund,23.5,79,17/08/2018 00:00,2022,40
FIFA21,193165,FC Porto,32.5,25,25/09/2020 00:00,2022,65
FIFA21,210035,SL Benfica,35.5,20,04/01/2016 00:00,2023,73.7
FIFA21,173210,Juventus,19.5,130,01/06/2007 00:00,2020,32.2
FIFA21,216352,Inter,32,125,01/07/2016 00:00,2022,55.2
FIFA21,146536,Sevilla FC,11,43,28/07/2017 00:00,2021,23.1
FIFA21,197965,SL Benfica,29.5,25,25/09/2020 00:00,2022,59
FIFA21,230658,Juventus,41,98,01/09/2020 00:00,2024,70.7
FIFA21,209889,Borussia Dortmund,36.5,86,01/07/2016 00:00,2023,64.8
FIFA21,226790,Leicester City,36.5,96,05/01/2017 00:00,2024,72.1
FIFA21,204838,Wolverhampton Wanderers,31,140,01/07/2019 00:00,2023,58.9
FIFA21,231478,Inter,44.5,130,05/07/2018 00:00,2023,82.3
FIFA21,211256,Ajax,27.5,27,05/01/2018 00:00,2022,38.5
FIFA21,193474,Paris Saint-Germain,25.5,105,30/07/2019 00:00,2023,47.2
FIFA21,212194,Borussia Dortmund,40.5,75,01/07/2019 00:00,2024,71.9
FIFA21,176266,Lazio,15,83,18/07/2017 00:00,2022,25.5
FIFA21,197781,Real Madrid,31.5,210,03/07/2013 00:00,2022,64.6
FIFA21,199451,AS Monaco,31,91,14/08/2019 00:00,2024,58.9
FIFA21,184432,Chelsea,24.5,120,24/08/2012 00:00,2022,46.6
FIFA21,190483,Juventus,30.5,120,01/07/2018 00:00,2022,50.3
FIFA21,211300,Manchester United,41,155,01/09/2015 00:00,2024,81
FIFA21,192629,RC Celta,25,46,01/07/2015 00:00,2023,52.5
FIFA21,200647,Atalanta,25,92,05/07/2017 00:00,2022,42.5
FIFA21,230142,Real Sociedad,42.5,47,01/07/2014 00:00,2024,97.8
FIFA21,185020,Napoli,19,96,11/07/2013 00:00,2020,32.3
FIFA21,239085,Borussia Dortmund,45,56,01/01/2020 00:00,2024,85.5
FIFA21,213345,FC Bayern München,40.5,94,30/08/2015 00:00,2023,69.9
FIFA21,198176,Inter,30.5,130,01/07/2018 00:00,2023,52.6
FIFA21,207863,Atlético Madrid,23,74,01/07/2019 00:00,2022,47.2
FIFA21,216460,Atlético Madrid,36,70,01/07/2013 00:00,2023,76.5
FIFA21,212190,FC Bayern München,37.5,84,01/07/2017 00:00,2022,64.7
FIFA21,226753,Ajax,30,18,14/01/2015 00:00,2022,44.3
FIFA21,178005,Wolverhampton Wanderers,19,90,18/06/2018 00:00,2022,36.1
FIFA21,163587,Leicester City,17,90,01/06/2011 00:00,2023,32.3
FIFA21,189117,Borussia Dortmund,25,67,01/07/2015 00:00,2023,44.4
FIFA21,168435,Torino,17,54,27/06/2017 00:00,2022,28.9
FIFA22,224334,Sevilla FC,37,45,14/09/2020 00:00,2024,77.7
FIFA22,181291,Paris Saint-Germain,40.5,115,01/07/2021 00:00,2024,74.9
FIFA22,197445,Real Madrid CF,35.5,195,01/07/2021 00:00,2026,72.8
FIFA22,224232,Inter,63.5,120,01/09/2020 00:00,2024,112.7
FIFA22,204923,FC Bayern München,48,110,30/08/2021 00:00,2025,82.8
FIFA22,200458,Everton,40.5,110,01/08/2018 00:00,2023,77
FIFA22,208574,Eintracht Frankfurt,42.5,52,17/05/2019 00:00,2023,72.3
FIFA22,216352,Inter,37,130,01/07/2016 00:00,2022,62.9
FIFA22,183711,Liverpool,29.5,140,09/06/2011 00:00,2025,54.6
FIFA22,230938,AC Milan,49.5,51,01/07/2019 00:00,2022,87.9
FIFA22,216393,Leicester City,57,125,08/07/2019 00:00,2023,112.6
FIFA22,210243,Leicester City,40.5,130,09/06/2018 00:00,2023,77
FIFA22,232656,AC Milan,62.5,51,05/07/2019 00:00,2024,118.8
FIFA22,186345,Atlético de Madrid,36.5,74,17/07/2019 00:00,2023,74.8
FIFA22,173210,Juventus,19.5,130,01/06/2007 00:00,2020,32.2
FIFA22,146536,Sevilla FC,13,30,28/07/2017 00:00,2024,27.3
FIFA22,209889,Borussia Dortmund,40.5,79,01/07/2016 00:00,2023,68.9
FIFA22,205988,Manchester United,48.5,140,27/06/2014 00:00,2023,93.4
FIFA22,216594,Real Betis Balompié,45,42,23/07/2019 00:00,2023,94.5
